id,transactions
1,"[{'order_id': 1, 'purchase_value': 159.96, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 2, 'purchase_value': 174.86, 'discount_value': 17.49, 'applies_discount': True}]"
2,"[{'order_id': 3, 'purchase_value': 51.71, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 4, 'purchase_value': 118.45, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 5, 'purchase_value': 121.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 6, 'purchase_value': 106.88, 'discount_value': 0.0, 'applies_discount': False}]"
3,"[{'order_id': 7, 'purchase_value': 124.8, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 8, 'purchase_value': 45.94, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 9, 'purchase_value': 28.24, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 10, 'purchase_value': 138.79, 'discount_value': 13.88, 'applies_discount': True}, {'order_id': 11, 'purchase_value': 104.2, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 12, 'purchase_value': 108.34, 'discount_value': 0.0, 'applies_discount': False}]"
4,"[{'order_id': 13, 'purchase_value': 49.02, 'discount_value': 4.9, 'applies_discount': True}, {'order_id': 14, 'purchase_value': 181.61, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 15, 'purchase_value': 117.51, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 16, 'purchase_value': 110.05, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 17, 'purchase_value': 96.85, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 18, 'purchase_value': 153.45, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 19, 'purchase_value': 152.65, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 20, 'purchase_value': 81.38, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 21, 'purchase_value': 81.11, 'discount_value': 0.0, 'applies_discount': False}]"
5,"[{'order_id': 22, 'purchase_value': 14.91, 'discount_value': 1.49, 'applies_discount': True}, {'order_id': 23, 'purchase_value': 176.41, 'discount_value': 17.64, 'applies_discount': True}, {'order_id': 24, 'purchase_value': 46.4, 'discount_value': 4.64, 'applies_discount': True}, {'order_id': 25, 'purchase_value': 59.84, 'discount_value': 5.98, 'applies_discount': True}, {'order_id': 26, 'purchase_value': 128.04, 'discount_value': 12.8, 'applies_discount': True}]"
6,"[{'order_id': 27, 'purchase_value': 163.2, 'discount_value': 16.32, 'applies_discount': True}, {'order_id': 28, 'purchase_value': 65.57, 'discount_value': 6.56, 'applies_discount': True}, {'order_id': 29, 'purchase_value': 123.64, 'discount_value': 12.36, 'applies_discount': True}, {'order_id': 30, 'purchase_value': 134.41, 'discount_value': 13.44, 'applies_discount': True}, {'order_id': 31, 'purchase_value': 179.04, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 32, 'purchase_value': 93.15, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 33, 'purchase_value': 109.41, 'discount_value': 10.94, 'applies_discount': True}, {'order_id': 34, 'purchase_value': 147.37, 'discount_value': 14.74, 'applies_discount': True}, {'order_id': 35, 'purchase_value': 51.23, 'discount_value': 5.12, 'applies_discount': True}]"
7,"[{'order_id': 36, 'purchase_value': 68.09, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 37, 'purchase_value': 44.68, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 38, 'purchase_value': 160.33, 'discount_value': 16.03, 'applies_discount': True}, {'order_id': 39, 'purchase_value': 176.0, 'discount_value': 17.6, 'applies_discount': True}, {'order_id': 40, 'purchase_value': 125.94, 'discount_value': 12.59, 'applies_discount': True}]"
8,"[{'order_id': 41, 'purchase_value': 118.52, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 42, 'purchase_value': 164.42, 'discount_value': 16.44, 'applies_discount': True}, {'order_id': 43, 'purchase_value': 15.86, 'discount_value': 1.59, 'applies_discount': True}, {'order_id': 44, 'purchase_value': 157.12, 'discount_value': 15.71, 'applies_discount': True}, {'order_id': 45, 'purchase_value': 66.47, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 46, 'purchase_value': 186.69, 'discount_value': 18.67, 'applies_discount': True}, {'order_id': 47, 'purchase_value': 34.63, 'discount_value': 3.46, 'applies_discount': True}, {'order_id': 48, 'purchase_value': 138.76, 'discount_value': 13.88, 'applies_discount': True}]"
9,"[{'order_id': 49, 'purchase_value': 187.33, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 50, 'purchase_value': 18.94, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 51, 'purchase_value': 110.68, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 52, 'purchase_value': 96.12, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 53, 'purchase_value': 149.45, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 54, 'purchase_value': 42.24, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 55, 'purchase_value': 24.64, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 56, 'purchase_value': 50.55, 'discount_value': 0.0, 'applies_discount': False}]"
10,"[{'order_id': 57, 'purchase_value': 12.95, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 58, 'purchase_value': 108.1, 'discount_value': 10.81, 'applies_discount': True}, {'order_id': 59, 'purchase_value': 194.55, 'discount_value': 0.0, 'applies_discount': False}, {'order_id': 60, 'purchase_value': 178.9, 'discount_value': 17.89, 'applies_discount': True}]"
